county,precinct,office,district,party,candidate,absentee,polling,votes
Bremer,City of Denver/Jefferson Twp,U.S. Senator,,Rep,Sam Clovis,,,13.0
Bremer,City of Frederika/Frederika Twp/LeRoy Twp,U.S. Senator,,Rep,Sam Clovis,,,3.0
Bremer,City of Janesville/Jackson Twp,U.S. Senator,,Rep,Sam Clovis,,,5.0
Bremer,City of Plainfield/Polk Twp/Douglas Twp,U.S. Senator,,Rep,Sam Clovis,,,11.0
Bremer,City of Readlyn/Maxfield Twp/Franklin Twp,U.S. Senator,,Rep,Sam Clovis,,,6.0
Bremer,City of Sumner/Sumner Twp/Dayton Twp,U.S. Senator,,Rep,Sam Clovis,,,10.0
Bremer,City of Tripoli/Fremont Twp,U.S. Senator,,Rep,Sam Clovis,,,3.0
Bremer,Lafayette Twp/Warren Twp,U.S. Senator,,Rep,Sam Clovis,,,1.0
Bremer,Waverly Ward I/East Washington Twp,U.S. Senator,,Rep,Sam Clovis,,,6.0
Bremer,Waverly Ward II/NE 1/4 Sec 36 Washington Twp,U.S. Senator,,Rep,Sam Clovis,,,3.0
Bremer,Waverly Ward III,U.S. Senator,,Rep,Sam Clovis,,,2.0
Bremer,Waverly Ward IV,U.S. Senator,,Rep,Sam Clovis,,,5.0
Bremer,Waverly Ward V/West Washington Twp,U.S. Senator,,Rep,Sam Clovis,,,5.0
Bremer,,U.S. Senator,,Rep,Sam Clovis,,,81.0
Bremer,City of Denver/Jefferson Twp,U.S. Senator,,Rep,Joni Ernst,,,93.0
Bremer,City of Frederika/Frederika Twp/LeRoy Twp,U.S. Senator,,Rep,Joni Ernst,,,18.0
Bremer,City of Janesville/Jackson Twp,U.S. Senator,,Rep,Joni Ernst,,,47.0
Bremer,City of Plainfield/Polk Twp/Douglas Twp,U.S. Senator,,Rep,Joni Ernst,,,39.0
Bremer,City of Readlyn/Maxfield Twp/Franklin Twp,U.S. Senator,,Rep,Joni Ernst,,,59.0
Bremer,City of Sumner/Sumner Twp/Dayton Twp,U.S. Senator,,Rep,Joni Ernst,,,82.0
Bremer,City of Tripoli/Fremont Twp,U.S. Senator,,Rep,Joni Ernst,,,34.0
Bremer,Lafayette Twp/Warren Twp,U.S. Senator,,Rep,Joni Ernst,,,40.0
Bremer,Waverly Ward I/East Washington Twp,U.S. Senator,,Rep,Joni Ernst,,,63.0
