county,precinct,office,district,party,candidate,absentee,polling,votes
Guthrie,Black,U.S. Senator,,Rep,Sam Clovis,,,5.0
Guthrie,Blue,U.S. Senator,,Rep,Sam Clovis,,,20.0
Guthrie,Brown,U.S. Senator,,Rep,Sam Clovis,,,15.0
Guthrie,Gold,U.S. Senator,,Rep,Sam Clovis,,,20.0
Guthrie,Green,U.S. Senator,,Rep,Sam Clovis,,,7.0
Guthrie,Purple,U.S. Senator,,Rep,Sam Clovis,,,12.0
Guthrie,Red,U.S. Senator,,Rep,Sam Clovis,,,8.0
Guthrie,White,U.S. Senator,,Rep,Sam Clovis,,,9.0
Guthrie,,U.S. Senator,,Rep,Sam Clovis,,,103.0
Guthrie,Black,U.S. Senator,,Rep,Joni Ernst,,,42.0
Guthrie,Blue,U.S. Senator,,Rep,Joni Ernst,,,102.0
Guthrie,Brown,U.S. Senator,,Rep,Joni Ernst,,,58.0
Guthrie,Gold,U.S. Senator,,Rep,Joni Ernst,,,126.0
Guthrie,Green,U.S. Senator,,Rep,Joni Ernst,,,40.0
Guthrie,Purple,U.S. Senator,,Rep,Joni Ernst,,,59.0
Guthrie,Red,U.S. Senator,,Rep,Joni Ernst,,,35.0
Guthrie,White,U.S. Senator,,Rep,Joni Ernst,,,38.0
Guthrie,,U.S. Senator,,Rep,Joni Ernst,,,559.0
Guthrie,Black,U.S. Senator,,Rep,Mark Jacobs,,,5.0
Guthrie,Blue,U.S. Senator,,Rep,Mark Jacobs,,,16.0
Guthrie,Brown,U.S. Senator,,Rep,Mark Jacobs,,,11.0
Guthrie,Gold,U.S. Senator,,Rep,Mark Jacobs,,,24.0
Guthrie,Green,U.S. Senator,,Rep,Mark Jacobs,,,1.0
Guthrie,Purple,U.S. Senator,,Rep,Mark Jacobs,,,6.0
Guthrie,Red,U.S. Senator,,Rep,Mark Jacobs,,,4.0
Guthrie,White,U.S. Senator,,Rep,Mark Jacobs,,,0.0
Guthrie,,U.S. Senator,,Rep,Mark Jacobs,,,83.0
Guthrie,Black,U.S. Senator,,Rep,Scott Schaben,,,0.0
Guthrie,Blue,U.S. Senator,,Rep,Scott Schaben,,,1.0
Guthrie,Brown,U.S. Senator,,Rep,Scott Schaben,,,0.0
Guthrie,Gold,U.S. Senator,,Rep,Scott Schaben,,,4.0
Guthrie,Green,U.S. Senator,,Rep,Scott Schaben,,,1.0
Guthrie,Purple,U.S. Senator,,Rep,Scott Schaben,,,1.0
Guthrie,Red,U.S. Senator,,Rep,Scott Schaben,,,0.0
Guthrie,White,U.S. Senator,,Rep,Scott Schaben,,,0.0
Guthrie,,U.S. Senator,,Rep,Scott Schaben,,,7.0
Guthrie,Black,U.S. Senator,,Rep,Matt Whitaker,,,5.0
Guthrie,Blue,U.S. Senator,,Rep,Matt Whitaker,,,10.0
Guthrie,Brown,U.S. Senator,,Rep,Matt Whitaker,,,14.0
Guthrie,Gold,U.S. Senator,,Rep,Matt Whitaker,,,27.0
Guthrie,Green,U.S. Senator,,Rep,Matt Whitaker,,,4.0
Guthrie,Purple,U.S. Senator,,Rep,Matt Whitaker,,,5.0
Guthrie,Red,U.S. Senator,,Rep,Matt Whitaker,,,7.0
Guthrie,White,U.S. Senator,,Rep,Matt Whitaker,,,4.0
Guthrie,,U.S. Senator,,Rep,Matt Whitaker,,,83.0
Guthrie,Black,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,Blue,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,Brown,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,Gold,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,Green,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,Purple,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,Red,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,White,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,,U.S. Senator,,Rep,Write-in,,,0.0
Guthrie,Black,U.S. Senator,,Dem,Bruce Braley,,,9.0
Guthrie,Blue,U.S. Senator,,Dem,Bruce Braley,,,19.0
Guthrie,Brown,U.S. Senator,,Dem,Bruce Braley,,,5.0
Guthrie,Gold,U.S. Senator,,Dem,Bruce Braley,,,25.0
Guthrie,Green,U.S. Senator,,Dem,Bruce Braley,,,9.0
Guthrie,Purple,U.S. Senator,,Dem,Bruce Braley,,,16.0
Guthrie,Red,U.S. Senator,,Dem,Bruce Braley,,,7.0
Guthrie,White,U.S. Senator,,Dem,Bruce Braley,,,5.0
Guthrie,,U.S. Senator,,Dem,Bruce Braley,,,103.0
Guthrie,Black,U.S. Senator,,Dem,Write-in,,,0.0
Guthrie,Blue,U.S. Senator,,Dem,Write-in,,,1.0
Guthrie,Brown,U.S. Senator,,Dem,Write-in,,,0.0
Guthrie,Gold,U.S. Senator,,Dem,Write-in,,,0.0
Guthrie,Green,U.S. Senator,,Dem,Write-in,,,0.0
Guthrie,Purple,U.S. Senator,,Dem,Write-in,,,0.0
Guthrie,Red,U.S. Senator,,Dem,Write-in,,,0.0
Guthrie,White,U.S. Senator,,Dem,Write-in,,,0.0
Guthrie,,U.S. Senator,,Dem,Write-in,,,1.0
Guthrie,Black,U.S. Rep.,3,Rep,Robert Cramer,,,10.0
Guthrie,Blue,U.S. Rep.,3,Rep,Robert Cramer,,,19.0
Guthrie,Brown,U.S. Rep.,3,Rep,Robert Cramer,,,11.0
Guthrie,Gold,U.S. Rep.,3,Rep,Robert Cramer,,,48.0
Guthrie,Green,U.S. Rep.,3,Rep,Robert Cramer,,,3.0
Guthrie,Purple,U.S. Rep.,3,Rep,Robert Cramer,,,19.0
Guthrie,Red,U.S. Rep.,3,Rep,Robert Cramer,,,7.0
Guthrie,White,U.S. Rep.,3,Rep,Robert Cramer,,,12.0
Guthrie,,U.S. Rep.,3,Rep,Robert Cramer,,,149.0
Guthrie,Black,U.S. Rep.,3,Rep,Joe Grandanette,,,0.0
Guthrie,Blue,U.S. Rep.,3,Rep,Joe Grandanette,,,2.0
Guthrie,Brown,U.S. Rep.,3,Rep,Joe Grandanette,,,0.0
Guthrie,Gold,U.S. Rep.,3,Rep,Joe Grandanette,,,2.0
Guthrie,Green,U.S. Rep.,3,Rep,Joe Grandanette,,,0.0
Guthrie,Purple,U.S. Rep.,3,Rep,Joe Grandanette,,,0.0
Guthrie,Red,U.S. Rep.,3,Rep,Joe Grandanette,,,0.0
Guthrie,White,U.S. Rep.,3,Rep,Joe Grandanette,,,1.0
Guthrie,,U.S. Rep.,3,Rep,Joe Grandanette,,,6.0
Guthrie,Black,U.S. Rep.,3,Rep,Matt Schultz,,,5.0
Guthrie,Blue,U.S. Rep.,3,Rep,Matt Schultz,,,19.0
Guthrie,Brown,U.S. Rep.,3,Rep,Matt Schultz,,,21.0
Guthrie,Gold,U.S. Rep.,3,Rep,Matt Schultz,,,26.0
Guthrie,Green,U.S. Rep.,3,Rep,Matt Schultz,,,6.0
Guthrie,Purple,U.S. Rep.,3,Rep,Matt Schultz,,,21.0
Guthrie,Red,U.S. Rep.,3,Rep,Matt Schultz,,,7.0
Guthrie,White,U.S. Rep.,3,Rep,Matt Schultz,,,8.0
Guthrie,,U.S. Rep.,3,Rep,Matt Schultz,,,118.0
Guthrie,Black,U.S. Rep.,3,Rep,Monte Shaw,,,21.0
Guthrie,Blue,U.S. Rep.,3,Rep,Monte Shaw,,,79.0
Guthrie,Brown,U.S. Rep.,3,Rep,Monte Shaw,,,50.0
Guthrie,Gold,U.S. Rep.,3,Rep,Monte Shaw,,,63.0
Guthrie,Green,U.S. Rep.,3,Rep,Monte Shaw,,,23.0
Guthrie,Purple,U.S. Rep.,3,Rep,Monte Shaw,,,23.0
Guthrie,Red,U.S. Rep.,3,Rep,Monte Shaw,,,11.0
Guthrie,White,U.S. Rep.,3,Rep,Monte Shaw,,,18.0
Guthrie,,U.S. Rep.,3,Rep,Monte Shaw,,,317.0
Guthrie,Black,U.S. Rep.,3,Rep,David Young,,,6.0
Guthrie,Blue,U.S. Rep.,3,Rep,David Young,,,16.0
Guthrie,Brown,U.S. Rep.,3,Rep,David Young,,,2.0
Guthrie,Gold,U.S. Rep.,3,Rep,David Young,,,17.0
Guthrie,Green,U.S. Rep.,3,Rep,David Young,,,6.0
Guthrie,Purple,U.S. Rep.,3,Rep,David Young,,,11.0
Guthrie,Red,U.S. Rep.,3,Rep,David Young,,,21.0
Guthrie,White,U.S. Rep.,3,Rep,David Young,,,7.0
Guthrie,,U.S. Rep.,3,Rep,David Young,,,111.0
Guthrie,Black,U.S. Rep.,3,Rep,Brad Zaun,,,14.0
Guthrie,Blue,U.S. Rep.,3,Rep,Brad Zaun,,,15.0
Guthrie,Brown,U.S. Rep.,3,Rep,Brad Zaun,,,13.0
Guthrie,Gold,U.S. Rep.,3,Rep,Brad Zaun,,,40.0
Guthrie,Green,U.S. Rep.,3,Rep,Brad Zaun,,,13.0
Guthrie,Purple,U.S. Rep.,3,Rep,Brad Zaun,,,8.0
Guthrie,Red,U.S. Rep.,3,Rep,Brad Zaun,,,6.0
Guthrie,White,U.S. Rep.,3,Rep,Brad Zaun,,,5.0
Guthrie,,U.S. Rep.,3,Rep,Brad Zaun,,,123.0
Guthrie,Black,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,Blue,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,Brown,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,Gold,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,Green,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,Purple,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,Red,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,White,U.S. Rep.,3,Rep,Write-in,,,0.0
Guthrie,,U.S. Rep.,3,Rep,Write-in,,,1.0
Guthrie,Black,U.S. Rep.,3,Dem,Staci Appel,,,8.0
Guthrie,Blue,U.S. Rep.,3,Dem,Staci Appel,,,19.0
Guthrie,Brown,U.S. Rep.,3,Dem,Staci Appel,,,5.0
Guthrie,Gold,U.S. Rep.,3,Dem,Staci Appel,,,26.0
Guthrie,Green,U.S. Rep.,3,Dem,Staci Appel,,,7.0
Guthrie,Purple,U.S. Rep.,3,Dem,Staci Appel,,,17.0
Guthrie,Red,U.S. Rep.,3,Dem,Staci Appel,,,8.0
Guthrie,White,U.S. Rep.,3,Dem,Staci Appel,,,4.0
Guthrie,,U.S. Rep.,3,Dem,Staci Appel,,,102.0
Guthrie,Black,U.S. Rep.,3,Dem,Write-in,,,0.0
Guthrie,Blue,U.S. Rep.,3,Dem,Write-in,,,1.0
Guthrie,Brown,U.S. Rep.,3,Dem,Write-in,,,0.0
Guthrie,Gold,U.S. Rep.,3,Dem,Write-in,,,0.0
Guthrie,Green,U.S. Rep.,3,Dem,Write-in,,,0.0
Guthrie,Purple,U.S. Rep.,3,Dem,Write-in,,,0.0
Guthrie,Red,U.S. Rep.,3,Dem,Write-in,,,0.0
Guthrie,White,U.S. Rep.,3,Dem,Write-in,,,0.0
Guthrie,,U.S. Rep.,3,Dem,Write-in,,,1.0
Guthrie,Black,Governor,,Rep,Terry E. Branstad,,,42.0
Guthrie,Blue,Governor,,Rep,Terry E. Branstad,,,129.0
Guthrie,Brown,Governor,,Rep,Terry E. Branstad,,,85.0
Guthrie,Gold,Governor,,Rep,Terry E. Branstad,,,163.0
Guthrie,Green,Governor,,Rep,Terry E. Branstad,,,43.0
Guthrie,Purple,Governor,,Rep,Terry E. Branstad,,,66.0
Guthrie,Red,Governor,,Rep,Terry E. Branstad,,,40.0
Guthrie,White,Governor,,Rep,Terry E. Branstad,,,40.0
Guthrie,,Governor,,Rep,Terry E. Branstad,,,690.0
Guthrie,Black,Governor,,Rep,Tom Hoefling,,,15.0
Guthrie,Blue,Governor,,Rep,Tom Hoefling,,,18.0
Guthrie,Brown,Governor,,Rep,Tom Hoefling,,,12.0
Guthrie,Gold,Governor,,Rep,Tom Hoefling,,,36.0
Guthrie,Green,Governor,,Rep,Tom Hoefling,,,7.0
Guthrie,Purple,Governor,,Rep,Tom Hoefling,,,16.0
Guthrie,Red,Governor,,Rep,Tom Hoefling,,,9.0
Guthrie,White,Governor,,Rep,Tom Hoefling,,,10.0
Guthrie,,Governor,,Rep,Tom Hoefling,,,131.0
Guthrie,Black,Governor,,Rep,Write-in,,,0.0
Guthrie,Blue,Governor,,Rep,Write-in,,,0.0
Guthrie,Brown,Governor,,Rep,Write-in,,,0.0
Guthrie,Gold,Governor,,Rep,Write-in,,,0.0
Guthrie,Green,Governor,,Rep,Write-in,,,0.0
Guthrie,Purple,Governor,,Rep,Write-in,,,0.0
Guthrie,Red,Governor,,Rep,Write-in,,,0.0
Guthrie,White,Governor,,Rep,Write-in,,,0.0
Guthrie,,Governor,,Rep,Write-in,,,0.0
Guthrie,Black,Governor,,Dem,Jack Hatch,,,9.0
Guthrie,Blue,Governor,,Dem,Jack Hatch,,,18.0
Guthrie,Brown,Governor,,Dem,Jack Hatch,,,5.0
Guthrie,Gold,Governor,,Dem,Jack Hatch,,,27.0
Guthrie,Green,Governor,,Dem,Jack Hatch,,,8.0
Guthrie,Purple,Governor,,Dem,Jack Hatch,,,14.0
Guthrie,Red,Governor,,Dem,Jack Hatch,,,7.0
Guthrie,White,Governor,,Dem,Jack Hatch,,,5.0
Guthrie,,Governor,,Dem,Jack Hatch,,,101.0
Guthrie,Black,Governor,,Dem,Write-in,,,0.0
Guthrie,Blue,Governor,,Dem,Write-in,,,1.0
Guthrie,Brown,Governor,,Dem,Write-in,,,0.0
Guthrie,Gold,Governor,,Dem,Write-in,,,0.0
Guthrie,Green,Governor,,Dem,Write-in,,,0.0
Guthrie,Purple,Governor,,Dem,Write-in,,,0.0
Guthrie,Red,Governor,,Dem,Write-in,,,0.0
Guthrie,White,Governor,,Dem,Write-in,,,0.0
Guthrie,,Governor,,Dem,Write-in,,,1.0
Guthrie,Black,Secretary of State,,Rep,Paul D. Pate,,,47.0
Guthrie,Blue,Secretary of State,,Rep,Paul D. Pate,,,117.0
Guthrie,Brown,Secretary of State,,Rep,Paul D. Pate,,,69.0
Guthrie,Gold,Secretary of State,,Rep,Paul D. Pate,,,163.0
Guthrie,Green,Secretary of State,,Rep,Paul D. Pate,,,35.0
Guthrie,Purple,Secretary of State,,Rep,Paul D. Pate,,,59.0
Guthrie,Red,Secretary of State,,Rep,Paul D. Pate,,,41.0
Guthrie,White,Secretary of State,,Rep,Paul D. Pate,,,42.0
Guthrie,,Secretary of State,,Rep,Paul D. Pate,,,647.0
Guthrie,Black,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,Blue,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,Brown,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,Gold,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,Green,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,Purple,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,Red,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,White,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,,Secretary of State,,Rep,Write-in,,,0.0
Guthrie,Black,Secretary of State,,Dem,Brad Anderson,,,8.0
Guthrie,Blue,Secretary of State,,Dem,Brad Anderson,,,18.0
Guthrie,Brown,Secretary of State,,Dem,Brad Anderson,,,5.0
Guthrie,Gold,Secretary of State,,Dem,Brad Anderson,,,26.0
Guthrie,Green,Secretary of State,,Dem,Brad Anderson,,,9.0
Guthrie,Purple,Secretary of State,,Dem,Brad Anderson,,,14.0
Guthrie,Red,Secretary of State,,Dem,Brad Anderson,,,7.0
Guthrie,White,Secretary of State,,Dem,Brad Anderson,,,4.0
Guthrie,,Secretary of State,,Dem,Brad Anderson,,,99.0
Guthrie,Black,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,Blue,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,Brown,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,Gold,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,Green,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,Purple,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,Red,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,White,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,,Secretary of State,,Dem,Write-in,,,0.0
Guthrie,Black,Auditor of State,,Rep,Mary Mosiman,,,46.0
Guthrie,Blue,Auditor of State,,Rep,Mary Mosiman,,,115.0
Guthrie,Brown,Auditor of State,,Rep,Mary Mosiman,,,70.0
Guthrie,Gold,Auditor of State,,Rep,Mary Mosiman,,,157.0
Guthrie,Green,Auditor of State,,Rep,Mary Mosiman,,,35.0
Guthrie,Purple,Auditor of State,,Rep,Mary Mosiman,,,57.0
Guthrie,Red,Auditor of State,,Rep,Mary Mosiman,,,41.0
Guthrie,White,Auditor of State,,Rep,Mary Mosiman,,,40.0
Guthrie,,Auditor of State,,Rep,Mary Mosiman,,,635.0
Guthrie,Black,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,Blue,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,Brown,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,Gold,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,Green,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,Purple,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,Red,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,White,Auditor of State,,Rep,Write-in,,,0.0
Guthrie,,Auditor of State,,Rep,Write-in,,,3.0
Guthrie,Black,Auditor of State,,Dem,Jonathan Neiderbach,,,7.0
Guthrie,Blue,Auditor of State,,Dem,Jonathan Neiderbach,,,16.0
Guthrie,Brown,Auditor of State,,Dem,Jonathan Neiderbach,,,5.0
Guthrie,Gold,Auditor of State,,Dem,Jonathan Neiderbach,,,24.0
Guthrie,Green,Auditor of State,,Dem,Jonathan Neiderbach,,,8.0
Guthrie,Purple,Auditor of State,,Dem,Jonathan Neiderbach,,,14.0
Guthrie,Red,Auditor of State,,Dem,Jonathan Neiderbach,,,7.0
Guthrie,White,Auditor of State,,Dem,Jonathan Neiderbach,,,4.0
Guthrie,,Auditor of State,,Dem,Jonathan Neiderbach,,,93.0
Guthrie,Black,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,Blue,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,Brown,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,Gold,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,Green,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,Purple,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,Red,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,White,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,,Auditor of State,,Dem,Write-in,,,0.0
Guthrie,Black,Treasurer of State,,Rep,Write-in,,,2.0
Guthrie,Blue,Treasurer of State,,Rep,Write-in,,,4.0
Guthrie,Brown,Treasurer of State,,Rep,Write-in,,,2.0
Guthrie,Gold,Treasurer of State,,Rep,Write-in,,,3.0
Guthrie,Green,Treasurer of State,,Rep,Write-in,,,3.0
Guthrie,Purple,Treasurer of State,,Rep,Write-in,,,3.0
