county,precinct,office,district,party,candidate,votes,absentee,polling
Wright,Belmond,U.S. House,4,REP,Cyndi Hanson,91,4,87
Wright,Clarion,U.S. House,4,REP,Cyndi Hanson,78,7,71
Wright,Big 6 Townships,U.S. House,4,REP,Cyndi Hanson,52,4,48
Wright,Dows,U.S. House,4,REP,Cyndi Hanson,14,2,12
Wright,EG #1,U.S. House,4,REP,Cyndi Hanson,4,0,4
Wright,EG #2,U.S. House,4,REP,Cyndi Hanson,3,0,3
Wright,EG #3,U.S. House,4,REP,Cyndi Hanson,8,1,7
Wright,EG #4,U.S. House,4,REP,Cyndi Hanson,4,0,4
Wright,Rural Eagle Grove,U.S. House,4,REP,Cyndi Hanson,13,0,13
Wright,Goldfield,U.S. House,4,REP,Cyndi Hanson,8,1,7
Wright,Belmond,U.S. House,4,REP,Steve King,183,13,170
Wright,Clarion,U.S. House,4,REP,Steve King,172,15,157
Wright,Big 6 Townships,U.S. House,4,REP,Steve King,105,31,74
Wright,Dows,U.S. House,4,REP,Steve King,47,8,39
Wright,EG #1,U.S. House,4,REP,Steve King,5,1,4
Wright,EG #2,U.S. House,4,REP,Steve King,17,0,17
Wright,EG #3,U.S. House,4,REP,Steve King,31,0,31
Wright,EG #4,U.S. House,4,REP,Steve King,16,1,15
Wright,Rural Eagle Grove,U.S. House,4,REP,Steve King,33,1,32
Wright,Goldfield,U.S. House,4,REP,Steve King,44,1,43
Wright,Belmond,U.S. House,4,,Write-in,0,0,0
Wright,Clarion,U.S. House,4,,Write-in,0,0,0
Wright,Big 6 Townships,U.S. House,4,,Write-in,0,0,0
Wright,Dows,U.S. House,4,,Write-in,0,0,0
Wright,EG #1,U.S. House,4,,Write-in,0,0,0
Wright,EG #2,U.S. House,4,,Write-in,0,0,0
Wright,EG #3,U.S. House,4,,Write-in,0,0,0
Wright,EG #4,U.S. House,4,,Write-in,0,0,0
Wright,Rural Eagle Grove,U.S. House,4,,Write-in,0,0,0
Wright,Goldfield,U.S. House,4,,Write-in,0,0,0
Wright,Belmond,Governor,,REP,Kim Reynolds,245,14,231
Wright,Clarion,Governor,,REP,Kim Reynolds,217,18,199
Wright,Big 6 Townships,Governor,,REP,Kim Reynolds,143,35,108
Wright,Dows,Governor,,REP,Kim Reynolds,55,9,46
Wright,EG #1,Governor,,REP,Kim Reynolds,7,1,6
Wright,EG #2,Governor,,REP,Kim Reynolds,20,0,20
Wright,EG #3,Governor,,REP,Kim Reynolds,40,1,39
Wright,EG #4,Governor,,REP,Kim Reynolds,19,1,18
Wright,Rural Eagle Grove,Governor,,REP,Kim Reynolds,41,1,40
Wright,Goldfield,Governor,,REP,Kim Reynolds,50,2,48
Wright,Belmond,Governor,,,Write-in,0,0,0
Wright,Clarion,Governor,,,Write-in,0,0,0
Wright,Big 6 Townships,Governor,,,Write-in,0,0,0
Wright,Dows,Governor,,,Write-in,0,0,0
Wright,EG #1,Governor,,,Write-in,0,0,0
Wright,EG #2,Governor,,,Write-in,0,0,0
Wright,EG #3,Governor,,,Write-in,0,0,0
Wright,EG #4,Governor,,,Write-in,0,0,0
Wright,Rural Eagle Grove,Governor,,,Write-in,0,0,0
Wright,Goldfield,Governor,,,Write-in,0,0,0
Wright,Belmond,Secretary of State,,REP,Paul D. Pate,248,17,231
Wright,Clarion,Secretary of State,,REP,Paul D. Pate,205,16,189
Wright,Big 6 Townships,Secretary of State,,REP,Paul D. Pate,129,33,96
Wright,Dows,Secretary of State,,REP,Paul D. Pate,57,10,47
Wright,EG #1,Secretary of State,,REP,Paul D. Pate,8,1,7
Wright,EG #2,Secretary of State,,REP,Paul D. Pate,20,0,20
Wright,EG #3,Secretary of State,,REP,Paul D. Pate,39,1,38
Wright,EG #4,Secretary of State,,REP,Paul D. Pate,19,0,19
Wright,Rural Eagle Grove,Secretary of State,,REP,Paul D. Pate,36,0,36
Wright,Goldfield,Secretary of State,,REP,Paul D. Pate,47,2,45
Wright,Belmond,Secretary of State,,,Write-in,0,0,0
Wright,Clarion,Secretary of State,,,Write-in,0,0,0
Wright,Big 6 Townships,Secretary of State,,,Write-in,0,0,0
Wright,Dows,Secretary of State,,,Write-in,0,0,0
Wright,EG #1,Secretary of State,,,Write-in,0,0,0
Wright,EG #2,Secretary of State,,,Write-in,0,0,0
Wright,EG #3,Secretary of State,,,Write-in,0,0,0
Wright,EG #4,Secretary of State,,,Write-in,0,0,0
Wright,Rural Eagle Grove,Secretary of State,,,Write-in,0,0,0
