county,precinct,office,district,party,candidate,votes,election_day,absentee
Dubuque,Rockdale Methodist Church,United States Representative District 1,,DEM,Abby Finkenauer,816,372,444
Dubuque,Theisen's Home Center,United States Representative District 1,,DEM,Abby Finkenauer,965,399,566
Dubuque,Area Residential Care,United States Representative District 1,,DEM,Abby Finkenauer,570,222,348
Dubuque,Journey Church,United States Representative District 1,,DEM,Abby Finkenauer,994,432,562
Dubuque,Arbor Oaks Bible Chapel,United States Representative District 1,,DEM,Abby Finkenauer,920,437,483
Dubuque,Summit Congregational Church,United States Representative District 1,,DEM,Abby Finkenauer,715,308,407
Dubuque,St. Peter Lutheran Church,United States Representative District 1,,DEM,Abby Finkenauer,986,356,630
Dubuque,Emmaus Bible College,United States Representative District 1,,DEM,Abby Finkenauer,559,204,355
Dubuque,Westminster Church Nine,United States Representative District 1,,DEM,Abby Finkenauer,636,280,356
Dubuque,Westminster Church Ten,United States Representative District 1,,DEM,Abby Finkenauer,880,387,493
Dubuque,U.A.W. Local 94,United States Representative District 1,,DEM,Abby Finkenauer,665,306,359
Dubuque,Windsor Park,United States Representative District 1,,DEM,Abby Finkenauer,822,333,489
Dubuque,Moose Lodge 355,United States Representative District 1,,DEM,Abby Finkenauer,544,276,268
Dubuque,Sacred Heart Church,United States Representative District 1,,DEM,Abby Finkenauer,421,220,201
Dubuque,Holy Trinity Church,United States Representative District 1,,DEM,Abby Finkenauer,642,327,315
Dubuque,Election Annex,United States Representative District 1,,DEM,Abby Finkenauer,429,200,229
Dubuque,St John's Parish House,United States Representative District 1,,DEM,Abby Finkenauer,351,188,163
Dubuque,Federal Building,United States Representative District 1,,DEM,Abby Finkenauer,595,283,312
Dubuque,YMCA/YWCA,United States Representative District 1,,DEM,Abby Finkenauer,815,332,483
Dubuque,Fogarty Hall Center,United States Representative District 1,,DEM,Abby Finkenauer,907,378,529
Dubuque,Asbury City,United States Representative District 1,,DEM,Abby Finkenauer,910,420,490
Dubuque,The Meadows Golf,United States Representative District 1,,DEM,Abby Finkenauer,906,403,503
Dubuque,Cascade City Hall,United States Representative District 1,,DEM,Abby Finkenauer,551,344,207
Dubuque,Peosta Community Center,United States Representative District 1,,DEM,Abby Finkenauer,891,397,494
Dubuque,Luxemburg City Hall,United States Representative District 1,,DEM,Abby Finkenauer,418,216,202
Dubuque,Hope Evangelical Free Church,United States Representative District 1,,DEM,Abby Finkenauer,600,292,308
