county,precinct,office,district,party,candidate,votes,election_day,absentee
Jasper,Clear Creek/Poweshiek,U.S. House,2,DEM,Dave Loebsack,369,259,110
Jasper,Colfax Ward 1,U.S. House,2,DEM,Dave Loebsack,127,96,31
Jasper,Colfax Ward 2,U.S. House,2,DEM,Dave Loebsack,176,118,58
Jasper,Colfax Ward 3,U.S. House,2,DEM,Dave Loebsack,159,108,51
Jasper,Des Moines,U.S. House,2,DEM,Dave Loebsack,418,321,97
Jasper,Elk Creek/Lynngrove,U.S. House,2,DEM,Dave Loebsack,208,135,73
Jasper,Fairview,U.S. House,2,DEM,Dave Loebsack,486,334,152
Jasper,HG/K/RC/BV/RL,U.S. House,2,DEM,Dave Loebsack,675,359,316
Jasper,Indep/Malaka/Mariposa,U.S. House,2,DEM,Dave Loebsack,472,298,174
Jasper,Mound Prairie/Washington,U.S. House,2,DEM,Dave Loebsack,248,134,114
Jasper,Newton/Sherman,U.S. House,2,DEM,Dave Loebsack,484,187,297
Jasper,Newton 1-1,U.S. House,2,DEM,Dave Loebsack,454,197,257
Jasper,Newton 1-2,U.S. House,2,DEM,Dave Loebsack,349,163,186
Jasper,Newton 2-1,U.S. House,2,DEM,Dave Loebsack,475,196,279
Jasper,Newton 2-2,U.S. House,2,DEM,Dave Loebsack,401,196,205
Jasper,Newton 3-1,U.S. House,2,DEM,Dave Loebsack,510,257,253
Jasper,Newton 3-2,U.S. House,2,DEM,Dave Loebsack,373,177,196
Jasper,Newton 4-1,U.S. House,2,DEM,Dave Loebsack,605,264,341
Jasper,Newton 4-2,U.S. House,2,DEM,Dave Loebsack,327,159,168
Jasper,Palo Alto,U.S. House,2,DEM,Dave Loebsack,203,124,79
Jasper,Clear Creek/Poweshiek,U.S. House,2,REP,Christopher Peters,418,293,125
Jasper,Colfax Ward 1,U.S. House,2,REP,Christopher Peters,93,79,14
Jasper,Colfax Ward 2,U.S. House,2,REP,Christopher Peters,136,108,28
Jasper,Colfax Ward 3,U.S. House,2,REP,Christopher Peters,89,59,30
Jasper,Des Moines,U.S. House,2,REP,Christopher Peters,572,449,123
Jasper,Elk Creek/Lynngrove,U.S. House,2,REP,Christopher Peters,878,642,236
