county,precinct,office,district,party,candidate,votes,election_day,absentee
Wayne,A01 - Allerton,U.S. House,2,REP,Christopher Peters,332,235,97
Wayne,C02 - Corydon,U.S. House,2,REP,Christopher Peters,444,281,163
Wayne,H03 - Humeston,U.S. House,2,REP,Christopher Peters,298,194,104
Wayne,S04 - Seymour,U.S. House,2,REP,Christopher Peters,332,232,100
Wayne,A01 - Allerton,U.S. House,2,DEM,Dave Loebsack,201,135,66
Wayne,C02 - Corydon,U.S. House,2,DEM,Dave Loebsack,272,145,127
Wayne,H03 - Humeston,U.S. House,2,DEM,Dave Loebsack,211,135,76
Wayne,S04 - Seymour,U.S. House,2,DEM,Dave Loebsack,200,153,47
Wayne,A01 - Allerton,U.S. House,2,LIB,Mark David Strauss,10,9,1
Wayne,C02 - Corydon,U.S. House,2,LIB,Mark David Strauss,11,2,9
Wayne,H03 - Humeston,U.S. House,2,LIB,Mark David Strauss,11,8,3
Wayne,S04 - Seymour,U.S. House,2,LIB,Mark David Strauss,10,7,3
Wayne,A01 - Allerton,U.S. House,2,,Daniel Clark,2,1,1
Wayne,C02 - Corydon,U.S. House,2,,Daniel Clark,4,1,3
Wayne,H03 - Humeston,U.S. House,2,,Daniel Clark,5,2,3
Wayne,S04 - Seymour,U.S. House,2,,Daniel Clark,6,5,1
Wayne,A01 - Allerton,U.S. House,2,,Write-in,0,0,0
Wayne,C02 - Corydon,U.S. House,2,,Write-in,0,0,0
Wayne,H03 - Humeston,U.S. House,2,,Write-in,0,0,0
Wayne,S04 - Seymour,U.S. House,2,,Write-in,0,0,0
Wayne,A01 - Allerton,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,383,271,112
Wayne,C02 - Corydon,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,492,301,191
Wayne,H03 - Humeston,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,351,229,122
Wayne,S04 - Seymour,Governor/Lieutenant Governor,,REP,Kim Reynolds/Adam Gregg,398,286,112
Wayne,A01 - Allerton,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,145,97,48
Wayne,C02 - Corydon,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,239,123,116
Wayne,H03 - Humeston,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,181,112,69
Wayne,S04 - Seymour,Governor/Lieutenant Governor,,DEM,Fred Hubbell/Rita R. Hart,157,116,41
Wayne,A01 - Allerton,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,25,18,7
Wayne,C02 - Corydon,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,13,8,5
Wayne,H03 - Humeston,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,6,5,1
Wayne,S04 - Seymour,Governor/Lieutenant Governor,,LIB,Jake Porter/Lynne Gentry,7,5,2
Wayne,A01 - Allerton,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,1,0,1
Wayne,C02 - Corydon,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,1,0,1
Wayne,H03 - Humeston,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,3,3,0
Wayne,S04 - Seymour,Governor/Lieutenant Governor,,CWP,Gary Siegwarth/Natalia Blaskovich,3,2,1
Wayne,A01 - Allerton,Governor/Lieutenant Governor,,,Write-in,0,0,0
Wayne,C02 - Corydon,Governor/Lieutenant Governor,,,Write-in,0,0,0
Wayne,H03 - Humeston,Governor/Lieutenant Governor,,,Write-in,0,0,0
Wayne,S04 - Seymour,Governor/Lieutenant Governor,,,Write-in,0,0,0
Wayne,A01 - Allerton,Secretary of State,,REP,Paul D. Pate,403,283,120
Wayne,C02 - Corydon,Secretary of State,,REP,Paul D. Pate,526,317,209
Wayne,H03 - Humeston,Secretary of State,,REP,Paul D. Pate,355,230,125
Wayne,S04 - Seymour,Secretary of State,,REP,Paul D. Pate,385,275,110
Wayne,A01 - Allerton,Secretary of State,,DEM,Deidre DeJear,131,85,46
Wayne,C02 - Corydon,Secretary of State,,DEM,Deidre DeJear,196,104,92
Wayne,H03 - Humeston,Secretary of State,,DEM,Deidre DeJear,163,101,62
Wayne,S04 - Seymour,Secretary of State,,DEM,Deidre DeJear,153,113,40
Wayne,A01 - Allerton,Secretary of State,,LIB,Jules Ofenbakh,9,9,0
Wayne,C02 - Corydon,Secretary of State,,LIB,Jules Ofenbakh,7,4,3
Wayne,H03 - Humeston,Secretary of State,,LIB,Jules Ofenbakh,10,10,0
Wayne,S04 - Seymour,Secretary of State,,LIB,Jules Ofenbakh,11,7,4
Wayne,A01 - Allerton,Secretary of State,,,Write-in,0,0,0
Wayne,C02 - Corydon,Secretary of State,,,Write-in,0,0,0
Wayne,H03 - Humeston,Secretary of State,,,Write-in,0,0,0
Wayne,S04 - Seymour,Secretary of State,,,Write-in,0,0,0
Wayne,A01 - Allerton,Auditor of State,,REP,Mary Mosiman,327,230,97
Wayne,C02 - Corydon,Auditor of State,,REP,Mary Mosiman,426,268,158
Wayne,H03 - Humeston,Auditor of State,,REP,Mary Mosiman,288,191,97
Wayne,S04 - Seymour,Auditor of State,,REP,Mary Mosiman,329,241,88
Wayne,A01 - Allerton,Auditor of State,,DEM,Rob Sand,191,125,66
Wayne,C02 - Corydon,Auditor of State,,DEM,Rob Sand,281,144,137
Wayne,H03 - Humeston,Auditor of State,,DEM,Rob Sand,233,145,88
Wayne,S04 - Seymour,Auditor of State,,DEM,Rob Sand,194,137,57
Wayne,A01 - Allerton,Auditor of State,,LIB,Fred Perryman,19,15,4
Wayne,C02 - Corydon,Auditor of State,,LIB,Fred Perryman,23,14,9
Wayne,H03 - Humeston,Auditor of State,,LIB,Fred Perryman,9,8,1
Wayne,S04 - Seymour,Auditor of State,,LIB,Fred Perryman,20,14,6
Wayne,A01 - Allerton,Auditor of State,,,Write-in,0,0,0
Wayne,C02 - Corydon,Auditor of State,,,Write-in,0,0,0
Wayne,H03 - Humeston,Auditor of State,,,Write-in,0,0,0
Wayne,S04 - Seymour,Auditor of State,,,Write-in,0,0,0
Wayne,A01 - Allerton,Treasurer of State,,REP,Jeremy N. Davis,313,212,101
Wayne,C02 - Corydon,Treasurer of State,,REP,Jeremy N. Davis,389,249,140
Wayne,H03 - Humeston,Treasurer of State,,REP,Jeremy N. Davis,283,184,99
Wayne,S04 - Seymour,Treasurer of State,,REP,Jeremy N. Davis,311,229,82
Wayne,A01 - Allerton,Treasurer of State,,DEM,Michael L. Fitzgerald,215,152,63
Wayne,C02 - Corydon,Treasurer of State,,DEM,Michael L. Fitzgerald,325,167,158
Wayne,H03 - Humeston,Treasurer of State,,DEM,Michael L. Fitzgerald,236,149,87
Wayne,S04 - Seymour,Treasurer of State,,DEM,Michael L. Fitzgerald,228,162,66
Wayne,A01 - Allerton,Treasurer of State,,LIB,Timothy Hird,9,8,1
Wayne,C02 - Corydon,Treasurer of State,,LIB,Timothy Hird,14,5,9
Wayne,H03 - Humeston,Treasurer of State,,LIB,Timothy Hird,7,7,0
Wayne,S04 - Seymour,Treasurer of State,,LIB,Timothy Hird,8,5,3
Wayne,A01 - Allerton,Treasurer of State,,,Write-in,1,1,0
Wayne,C02 - Corydon,Treasurer of State,,,Write-in,0,0,0
Wayne,H03 - Humeston,Treasurer of State,,,Write-in,0,0,0
Wayne,S04 - Seymour,Treasurer of State,,,Write-in,0,0,0
Wayne,A01 - Allerton,Secretary of Agriculture,,REP,Mike Naig,379,268,111
Wayne,C02 - Corydon,Secretary of Agriculture,,REP,Mike Naig,474,288,186
Wayne,H03 - Humeston,Secretary of Agriculture,,REP,Mike Naig,322,210,112
Wayne,S04 - Seymour,Secretary of Agriculture,,REP,Mike Naig,372,266,106
Wayne,A01 - Allerton,Secretary of Agriculture,,DEM,Tim Gannon,153,100,53
Wayne,C02 - Corydon,Secretary of Agriculture,,DEM,Tim Gannon,238,127,111
Wayne,H03 - Humeston,Secretary of Agriculture,,DEM,Tim Gannon,196,124,72
Wayne,S04 - Seymour,Secretary of Agriculture,,DEM,Tim Gannon,158,120,38
Wayne,A01 - Allerton,Secretary of Agriculture,,LIB,Rick Stewart,14,12,2
Wayne,C02 - Corydon,Secretary of Agriculture,,LIB,Rick Stewart,15,8,7
Wayne,H03 - Humeston,Secretary of Agriculture,,LIB,Rick Stewart,11,8,3
Wayne,S04 - Seymour,Secretary of Agriculture,,LIB,Rick Stewart,14,9,5
Wayne,A01 - Allerton,Secretary of Agriculture,,,Write-in,0,0,0
Wayne,C02 - Corydon,Secretary of Agriculture,,,Write-in,0,0,0
Wayne,H03 - Humeston,Secretary of Agriculture,,,Write-in,0,0,0
Wayne,S04 - Seymour,Secretary of Agriculture,,,Write-in,0,0,0
Wayne,A01 - Allerton,Attorney General,,DEM,Tom Miller,342,237,105
Wayne,C02 - Corydon,Attorney General,,DEM,Tom Miller,483,273,210
Wayne,H03 - Humeston,Attorney General,,DEM,Tom Miller,336,222,114
Wayne,S04 - Seymour,Attorney General,,DEM,Tom Miller,334,243,91
Wayne,A01 - Allerton,Attorney General,,LIB,Marco Battaglia,104,76,28
Wayne,C02 - Corydon,Attorney General,,LIB,Marco Battaglia,147,98,49
Wayne,H03 - Humeston,Attorney General,,LIB,Marco Battaglia,117,75,42
Wayne,S04 - Seymour,Attorney General,,LIB,Marco Battaglia,112,90,22
Wayne,A01 - Allerton,Attorney General,,,Write-in,5,4,1
Wayne,C02 - Corydon,Attorney General,,,Write-in,4,4,0
Wayne,H03 - Humeston,Attorney General,,,Write-in,3,3,0
Wayne,S04 - Seymour,Attorney General,,,Write-in,8,7,1
Wayne,A01 - Allerton,State House,27,REP,Joel Fry,426,302,124
Wayne,C02 - Corydon,State House,27,REP,Joel Fry,543,332,211
Wayne,H03 - Humeston,State House,27,REP,Joel Fry,381,253,128
Wayne,S04 - Seymour,State House,27,REP,Joel Fry,405,296,109
Wayne,A01 - Allerton,State House,27,DEM,Richard Foster,119,78,41
Wayne,C02 - Corydon,State House,27,DEM,Richard Foster,191,94,97
