county,precinct,office,district,party,candidate,votes,election_day,absentee
Decatur,BL/FA/Lamoni,President,,REP,Donald J. Trump and Michael R. Pence,590,406,184
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,REP,Donald J. Trump and Michael R. Pence,323,203,120
Decatur,CE/ED/Leon,President,,REP,Donald J. Trump and Michael R. Pence,832,502,330
Decatur,DE/Decatur City,President,,REP,Donald J. Trump and Michael R. Pence,152,105,47
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,REP,Donald J. Trump and Michael R. Pence,278,194,84
Decatur,GR/RL/Grand River,President,,REP,Donald J. Trump and Michael R. Pence,183,149,34
Decatur,FR/LC/Van Wert/Weldon,President,,REP,Donald J. Trump and Michael R. Pence,257,163,94
Decatur,BL/FA/Lamoni,President,,DEM,Joseph R. Biden and Kamala D. Harris,507,183,324
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,DEM,Joseph R. Biden and Kamala D. Harris,66,22,44
Decatur,CE/ED/Leon,President,,DEM,Joseph R. Biden and Kamala D. Harris,285,68,217
Decatur,DE/Decatur City,President,,DEM,Joseph R. Biden and Kamala D. Harris,39,14,25
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,DEM,Joseph R. Biden and Kamala D. Harris,71,21,50
Decatur,GR/RL/Grand River,President,,DEM,Joseph R. Biden and Kamala D. Harris,61,29,32
Decatur,FR/LC/Van Wert/Weldon,President,,DEM,Joseph R. Biden and Kamala D. Harris,91,30,61
Decatur,BL/FA/Lamoni,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,2,2,0
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,2,1,1
Decatur,CE/ED/Leon,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,1,0
Decatur,DE/Decatur City,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,1,0
Decatur,GR/RL/Grand River,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Decatur,FR/LC/Van Wert/Weldon,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Decatur,BL/FA/Lamoni,President,,CON,Don Blankenship and William Alan Mohr,1,1,0
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Decatur,CE/ED/Leon,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Decatur,DE/Decatur City,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,CON,Don Blankenship and William Alan Mohr,1,1,0
Decatur,GR/RL/Grand River,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Decatur,FR/LC/Van Wert/Weldon,President,,CON,Don Blankenship and William Alan Mohr,1,0,1
Decatur,BL/FA/Lamoni,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,1,0
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Decatur,CE/ED/Leon,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,1,0
Decatur,DE/Decatur City,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Decatur,GR/RL/Grand River,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,0,1
Decatur,FR/LC/Van Wert/Weldon,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Decatur,BL/FA/Lamoni,President,,GRN,Howie Hawkins and Angela Nicole Walker,3,2,1
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,GRN,Howie Hawkins and Angela Nicole Walker,1,0,1
Decatur,CE/ED/Leon,President,,GRN,Howie Hawkins and Angela Nicole Walker,4,1,3
Decatur,DE/Decatur City,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,GRN,Howie Hawkins and Angela Nicole Walker,1,0,1
Decatur,GR/RL/Grand River,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Decatur,FR/LC/Van Wert/Weldon,President,,GRN,Howie Hawkins and Angela Nicole Walker,2,0,2
Decatur,BL/FA/Lamoni,President,,LIB,Jo Jorgensen and Jeremy Cohen,11,8,3
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,LIB,Jo Jorgensen and Jeremy Cohen,2,2,0
Decatur,CE/ED/Leon,President,,LIB,Jo Jorgensen and Jeremy Cohen,6,4,2
Decatur,DE/Decatur City,President,,LIB,Jo Jorgensen and Jeremy Cohen,2,2,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,LIB,Jo Jorgensen and Jeremy Cohen,3,2,1
Decatur,GR/RL/Grand River,President,,LIB,Jo Jorgensen and Jeremy Cohen,1,0,1
Decatur,FR/LC/Van Wert/Weldon,President,,LIB,Jo Jorgensen and Jeremy Cohen,4,2,2
Decatur,BL/FA/Lamoni,President,,,Brock Pierce and Karla Ballard,0,0,0
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,,Brock Pierce and Karla Ballard,1,0,1
Decatur,CE/ED/Leon,President,,,Brock Pierce and Karla Ballard,1,0,1
Decatur,DE/Decatur City,President,,,Brock Pierce and Karla Ballard,0,0,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,,Brock Pierce and Karla Ballard,0,0,0
Decatur,GR/RL/Grand River,President,,,Brock Pierce and Karla Ballard,1,1,0
Decatur,FR/LC/Van Wert/Weldon,President,,,Brock Pierce and Karla Ballard,0,0,0
Decatur,BL/FA/Lamoni,President,,,Kanye West and Michelle Tidball,6,6,0
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,,Kanye West and Michelle Tidball,0,0,0
Decatur,CE/ED/Leon,President,,,Kanye West and Michelle Tidball,4,1,3
Decatur,DE/Decatur City,President,,,Kanye West and Michelle Tidball,0,0,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,,Kanye West and Michelle Tidball,0,0,0
Decatur,GR/RL/Grand River,President,,,Kanye West and Michelle Tidball,1,0,1
Decatur,FR/LC/Van Wert/Weldon,President,,,Kanye West and Michelle Tidball,0,0,0
Decatur,BL/FA/Lamoni,President,,,Write-in,1,1,0
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,President,,,Write-in,0,0,0
Decatur,CE/ED/Leon,President,,,Write-in,1,1,0
Decatur,DE/Decatur City,President,,,Write-in,0,0,0
Decatur,GG/HP/WO/Garden Grove/LeRoy,President,,,Write-in,1,1,0
Decatur,GR/RL/Grand River,President,,,Write-in,0,0,0
Decatur,FR/LC/Van Wert/Weldon,President,,,Write-in,0,0,0
Decatur,BL/FA/Lamoni,U.S. Senate,,REP,Joni Ernst,571,385,186
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,U.S. Senate,,REP,Joni Ernst,310,193,117
Decatur,CE/ED/Leon,U.S. Senate,,REP,Joni Ernst,759,453,306
Decatur,DE/Decatur City,U.S. Senate,,REP,Joni Ernst,143,98,45
Decatur,GG/HP/WO/Garden Grove/LeRoy,U.S. Senate,,REP,Joni Ernst,254,176,78
Decatur,GR/RL/Grand River,U.S. Senate,,REP,Joni Ernst,167,132,35
Decatur,FR/LC/Van Wert/Weldon,U.S. Senate,,REP,Joni Ernst,235,147,88
Decatur,BL/FA/Lamoni,U.S. Senate,,DEM,Theresa Greenfield,500,186,314
Decatur,BU/HA/Mo/NB/Davis City/Pleasanton,U.S. Senate,,DEM,Theresa Greenfield,70,24,46
Decatur,CE/ED/Leon,U.S. Senate,,DEM,Theresa Greenfield,303,79,224
Decatur,DE/Decatur City,U.S. Senate,,DEM,Theresa Greenfield,41,17,24
Decatur,GG/HP/WO/Garden Grove/LeRoy,U.S. Senate,,DEM,Theresa Greenfield,81,29,52
Decatur,GR/RL/Grand River,U.S. Senate,,DEM,Theresa Greenfield,66,33,33
Decatur,FR/LC/Van Wert/Weldon,U.S. Senate,,DEM,Theresa Greenfield,104,41,63
