county,precinct,office,district,party,candidate,votes,election_day,absentee
Lucas,Chariton City Hall,President,,REP,Donald J. Trump and Michael R. Pence,676,307,369
Lucas,Chariton Community Center,President,,REP,Donald J. Trump and Michael R. Pence,745,377,368
Lucas,L.C. Extension Office,President,,REP,Donald J. Trump and Michael R. Pence,252,86,166
Lucas,Lucas,President,,REP,Donald J. Trump and Michael R. Pence,433,265,168
Lucas,Pin Oak Marsh,President,,REP,Donald J. Trump and Michael R. Pence,383,153,230
Lucas,Russell-City of Russell-Cedar and Washington Townships,President,,REP,Donald J. Trump and Michael R. Pence,371,248,123
Lucas,Williamson,President,,REP,Donald J. Trump and Michael R. Pence,427,233,194
Lucas,Chariton City Hall,President,,DEM,Joseph R. Biden and Kamala D. Harris,330,76,254
Lucas,Chariton Community Center,President,,DEM,Joseph R. Biden and Kamala D. Harris,315,85,230
Lucas,L.C. Extension Office,President,,DEM,Joseph R. Biden and Kamala D. Harris,96,6,90
Lucas,Lucas,President,,DEM,Joseph R. Biden and Kamala D. Harris,138,42,96
Lucas,Pin Oak Marsh,President,,DEM,Joseph R. Biden and Kamala D. Harris,127,34,93
Lucas,Russell-City of Russell-Cedar and Washington Townships,President,,DEM,Joseph R. Biden and Kamala D. Harris,124,50,74
Lucas,Williamson,President,,DEM,Joseph R. Biden and Kamala D. Harris,154,36,118
Lucas,Chariton City Hall,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Lucas,Chariton Community Center,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Lucas,L.C. Extension Office,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,0,1
Lucas,Lucas,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Lucas,Pin Oak Marsh,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Lucas,Russell-City of Russell-Cedar and Washington Townships,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Lucas,Williamson,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Lucas,Chariton City Hall,President,,CON,Don Blankenship and William Alan Mohr,1,1,0
Lucas,Chariton Community Center,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Lucas,L.C. Extension Office,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Lucas,Lucas,President,,CON,Don Blankenship and William Alan Mohr,1,0,1
Lucas,Pin Oak Marsh,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Lucas,Russell-City of Russell-Cedar and Washington Townships,President,,CON,Don Blankenship and William Alan Mohr,3,1,2
Lucas,Williamson,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Lucas,Chariton City Hall,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Lucas,Chariton Community Center,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,1,0
Lucas,L.C. Extension Office,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Lucas,Lucas,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Lucas,Pin Oak Marsh,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Lucas,Russell-City of Russell-Cedar and Washington Townships,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,0,1
Lucas,Williamson,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,0,1
Lucas,Chariton City Hall,President,,GRN,Howie Hawkins and Angela Nicole Walker,3,0,3
