county,precinct,office,district,party,candidate,votes,election_day,absentee
Mills,Deer Creek/White Cloud/Indian Creek,President,,REP,Donald J. Trump and Michael R. Pence,142,68,74
Mills,Emerson/Hastings/Indian Creek,President,,REP,Donald J. Trump and Michael R. Pence,351,232,119
Mills,Glenwood Ward 1,President,,REP,Donald J. Trump and Michael R. Pence,419,149,270
Mills,Glenwood Ward 2,President,,REP,Donald J. Trump and Michael R. Pence,477,204,273
Mills,Glenwood Ward 3,President,,REP,Donald J. Trump and Michael R. Pence,609,229,380
Mills,Glenwood Township,President,,REP,Donald J. Trump and Michael R. Pence,585,202,383
Mills,Henderson/Anderson,President,,REP,Donald J. Trump and Michael R. Pence,181,125,56
Mills,M/T/C/R/SC,President,,REP,Donald J. Trump and Michael R. Pence,1043,494,549
Mills,Oak/St. Mary,President,,REP,Donald J. Trump and Michael R. Pence,1266,508,758
Mills,Pacific Junction/Lyons/Plattville,President,,REP,Donald J. Trump and Michael R. Pence,286,105,181
Mills,Silver City/Ingraham,President,,REP,Donald J. Trump and Michael R. Pence,226,130,96
Mills,Deer Creek/White Cloud/Indian Creek,President,,DEM,Joseph R. Biden and Kamala D. Harris,48,11,37
Mills,Emerson/Hastings/Indian Creek,President,,DEM,Joseph R. Biden and Kamala D. Harris,95,34,61
Mills,Glenwood Ward 1,President,,DEM,Joseph R. Biden and Kamala D. Harris,256,49,207
Mills,Glenwood Ward 2,President,,DEM,Joseph R. Biden and Kamala D. Harris,285,81,204
Mills,Glenwood Ward 3,President,,DEM,Joseph R. Biden and Kamala D. Harris,360,77,283
Mills,Glenwood Township,President,,DEM,Joseph R. Biden and Kamala D. Harris,269,44,225
Mills,Henderson/Anderson,President,,DEM,Joseph R. Biden and Kamala D. Harris,71,27,44
Mills,M/T/C/R/SC,President,,DEM,Joseph R. Biden and Kamala D. Harris,439,128,311
Mills,Oak/St. Mary,President,,DEM,Joseph R. Biden and Kamala D. Harris,514,132,382
Mills,Pacific Junction/Lyons/Plattville,President,,DEM,Joseph R. Biden and Kamala D. Harris,81,12,69
Mills,Silver City/Ingraham,President,,DEM,Joseph R. Biden and Kamala D. Harris,90,37,53
Mills,Deer Creek/White Cloud/Indian Creek,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Mills,Emerson/Hastings/Indian Creek,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Mills,Glenwood Ward 1,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,1,0
Mills,Glenwood Ward 2,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,0,1
Mills,Glenwood Ward 3,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Mills,Glenwood Township,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,0,1
Mills,Henderson/Anderson,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Mills,M/T/C/R/SC,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,0,1
Mills,Oak/St. Mary,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Mills,Pacific Junction/Lyons/Plattville,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,3,1,2
Mills,Silver City/Ingraham,President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
Mills,Deer Creek/White Cloud/Indian Creek,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,Emerson/Hastings/Indian Creek,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,Glenwood Ward 1,President,,CON,Don Blankenship and William Alan Mohr,2,0,2
Mills,Glenwood Ward 2,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,Glenwood Ward 3,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,Glenwood Township,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,Henderson/Anderson,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,M/T/C/R/SC,President,,CON,Don Blankenship and William Alan Mohr,4,1,3
Mills,Oak/St. Mary,President,,CON,Don Blankenship and William Alan Mohr,1,0,1
Mills,Pacific Junction/Lyons/Plattville,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,Silver City/Ingraham,President,,CON,Don Blankenship and William Alan Mohr,0,0,0
Mills,Deer Creek/White Cloud/Indian Creek,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Emerson/Hastings/Indian Creek,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Glenwood Ward 1,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Glenwood Ward 2,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Glenwood Ward 3,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Glenwood Township,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Henderson/Anderson,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,M/T/C/R/SC,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,0,1
Mills,Oak/St. Mary,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Pacific Junction/Lyons/Plattville,President,,GKH,Ricki Sue King and Dayna R. Chandler,1,0,1
Mills,Silver City/Ingraham,President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
Mills,Deer Creek/White Cloud/Indian Creek,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Mills,Emerson/Hastings/Indian Creek,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Mills,Glenwood Ward 1,President,,GRN,Howie Hawkins and Angela Nicole Walker,1,0,1
Mills,Glenwood Ward 2,President,,GRN,Howie Hawkins and Angela Nicole Walker,2,1,1
Mills,Glenwood Ward 3,President,,GRN,Howie Hawkins and Angela Nicole Walker,3,1,2
Mills,Glenwood Township,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Mills,Henderson/Anderson,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Mills,M/T/C/R/SC,President,,GRN,Howie Hawkins and Angela Nicole Walker,2,0,2
Mills,Oak/St. Mary,President,,GRN,Howie Hawkins and Angela Nicole Walker,4,1,3
Mills,Pacific Junction/Lyons/Plattville,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Mills,Silver City/Ingraham,President,,GRN,Howie Hawkins and Angela Nicole Walker,0,0,0
Mills,Deer Creek/White Cloud/Indian Creek,President,,LIB,Jo Jorgensen and Jeremy Cohen,2,1,1
Mills,Emerson/Hastings/Indian Creek,President,,LIB,Jo Jorgensen and Jeremy Cohen,8,5,3
Mills,Glenwood Ward 1,President,,LIB,Jo Jorgensen and Jeremy Cohen,11,4,7
Mills,Glenwood Ward 2,President,,LIB,Jo Jorgensen and Jeremy Cohen,15,9,6
Mills,Glenwood Ward 3,President,,LIB,Jo Jorgensen and Jeremy Cohen,11,6,5
Mills,Glenwood Township,President,,LIB,Jo Jorgensen and Jeremy Cohen,13,8,5
Mills,Henderson/Anderson,President,,LIB,Jo Jorgensen and Jeremy Cohen,2,2,0
Mills,M/T/C/R/SC,President,,LIB,Jo Jorgensen and Jeremy Cohen,15,11,4
Mills,Oak/St. Mary,President,,LIB,Jo Jorgensen and Jeremy Cohen,16,7,9
Mills,Pacific Junction/Lyons/Plattville,President,,LIB,Jo Jorgensen and Jeremy Cohen,5,0,5
Mills,Silver City/Ingraham,President,,LIB,Jo Jorgensen and Jeremy Cohen,2,2,0
Mills,Deer Creek/White Cloud/Indian Creek,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Emerson/Hastings/Indian Creek,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Glenwood Ward 1,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Glenwood Ward 2,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Glenwood Ward 3,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Glenwood Township,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Henderson/Anderson,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,M/T/C/R/SC,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Oak/St. Mary,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Pacific Junction/Lyons/Plattville,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Silver City/Ingraham,President,,,Brock Pierce and Karla Ballard,0,0,0
Mills,Deer Creek/White Cloud/Indian Creek,President,,,Kanye West and Michelle Tidball,0,0,0
Mills,Emerson/Hastings/Indian Creek,President,,,Kanye West and Michelle Tidball,1,1,0
Mills,Glenwood Ward 1,President,,,Kanye West and Michelle Tidball,3,2,1
Mills,Glenwood Ward 2,President,,,Kanye West and Michelle Tidball,2,1,1
Mills,Glenwood Ward 3,President,,,Kanye West and Michelle Tidball,0,0,0
Mills,Glenwood Township,President,,,Kanye West and Michelle Tidball,1,0,1
Mills,Henderson/Anderson,President,,,Kanye West and Michelle Tidball,2,2,0
Mills,M/T/C/R/SC,President,,,Kanye West and Michelle Tidball,4,3,1
Mills,Oak/St. Mary,President,,,Kanye West and Michelle Tidball,2,1,1
Mills,Pacific Junction/Lyons/Plattville,President,,,Kanye West and Michelle Tidball,1,1,0
Mills,Silver City/Ingraham,President,,,Kanye West and Michelle Tidball,0,0,0
Mills,Deer Creek/White Cloud/Indian Creek,President,,,Write-in,0,0,0
Mills,Emerson/Hastings/Indian Creek,President,,,Write-in,0,0,0
Mills,Glenwood Ward 1,President,,,Write-in,5,2,3
Mills,Glenwood Ward 2,President,,,Write-in,3,0,3
Mills,Glenwood Ward 3,President,,,Write-in,6,2,4
Mills,Glenwood Township,President,,,Write-in,2,2,0
Mills,Henderson/Anderson,President,,,Write-in,0,0,0
Mills,M/T/C/R/SC,President,,,Write-in,4,1,3
Mills,Oak/St. Mary,President,,,Write-in,10,3,7
Mills,Pacific Junction/Lyons/Plattville,President,,,Write-in,0,0,0
Mills,Silver City/Ingraham,President,,,Write-in,1,0,1
Mills,Deer Creek/White Cloud/Indian Creek,U.S. Senate,,REP,Joni Ernst,141,65,76
Mills,Emerson/Hastings/Indian Creek,U.S. Senate,,REP,Joni Ernst,324,218,106
Mills,Glenwood Ward 1,U.S. Senate,,REP,Joni Ernst,406,141,265
Mills,Glenwood Ward 2,U.S. Senate,,REP,Joni Ernst,451,194,257
Mills,Glenwood Ward 3,U.S. Senate,,REP,Joni Ernst,567,202,365
Mills,Glenwood Township,U.S. Senate,,REP,Joni Ernst,565,194,371
Mills,Henderson/Anderson,U.S. Senate,,REP,Joni Ernst,174,118,56
Mills,M/T/C/R/SC,U.S. Senate,,REP,Joni Ernst,991,475,516
Mills,Oak/St. Mary,U.S. Senate,,REP,Joni Ernst,1234,487,747
Mills,Pacific Junction/Lyons/Plattville,U.S. Senate,,REP,Joni Ernst,273,97,176
Mills,Silver City/Ingraham,U.S. Senate,,REP,Joni Ernst,221,127,94
Mills,Deer Creek/White Cloud/Indian Creek,U.S. Senate,,DEM,Theresa Greenfield,47,11,36
Mills,Emerson/Hastings/Indian Creek,U.S. Senate,,DEM,Theresa Greenfield,110,45,65
Mills,Glenwood Ward 1,U.S. Senate,,DEM,Theresa Greenfield,254,58,196
Mills,Glenwood Ward 2,U.S. Senate,,DEM,Theresa Greenfield,292,88,204
Mills,Glenwood Ward 3,U.S. Senate,,DEM,Theresa Greenfield,373,95,278
Mills,Glenwood Township,U.S. Senate,,DEM,Theresa Greenfield,261,45,216
Mills,Henderson/Anderson,U.S. Senate,,DEM,Theresa Greenfield,72,31,41
Mills,M/T/C/R/SC,U.S. Senate,,DEM,Theresa Greenfield,468,145,323
Mills,Oak/St. Mary,U.S. Senate,,DEM,Theresa Greenfield,499,138,361
Mills,Pacific Junction/Lyons/Plattville,U.S. Senate,,DEM,Theresa Greenfield,83,13,70
Mills,Silver City/Ingraham,U.S. Senate,,DEM,Theresa Greenfield,85,34,51
Mills,Deer Creek/White Cloud/Indian Creek,U.S. Senate,,LIB,Rick Stewart,3,1,2
Mills,Emerson/Hastings/Indian Creek,U.S. Senate,,LIB,Rick Stewart,11,5,6
Mills,Glenwood Ward 1,U.S. Senate,,LIB,Rick Stewart,15,4,11
Mills,Glenwood Ward 2,U.S. Senate,,LIB,Rick Stewart,19,6,13
Mills,Glenwood Ward 3,U.S. Senate,,LIB,Rick Stewart,24,10,14
Mills,Glenwood Township,U.S. Senate,,LIB,Rick Stewart,18,9,9
Mills,Henderson/Anderson,U.S. Senate,,LIB,Rick Stewart,4,4,0
Mills,M/T/C/R/SC,U.S. Senate,,LIB,Rick Stewart,26,14,12
Mills,Oak/St. Mary,U.S. Senate,,LIB,Rick Stewart,44,22,22
