county,precinct,office,district,party,candidate,votes,absentee,election_day
Sioux,Alton/Nassau,U.S. Senate,,REP,Chuck Grassley,552,56,496
Sioux,Capel/Grant/Lynn/Sheridan,U.S. Senate,,REP,Chuck Grassley,951,94,857
Sioux,East Orange/Floyd/Holland North 1/2,U.S. Senate,,REP,Chuck Grassley,700,106,594
Sioux,Hawarden/BC/EG West/GF/LG/WA West,U.S. Senate,,REP,Chuck Grassley,785,73,712
Sioux,Hull/Lincoln,U.S. Senate,,REP,Chuck Grassley,1158,80,1078
Sioux,Ireton/Center/Eagle East/Reading/Washington East,U.S. Senate,,REP,Chuck Grassley,595,55,540
Sioux,Maurice/Sherman,U.S. Senate,,REP,Chuck Grassley,268,38,230
Sioux,Orange City #1/Holland SW,U.S. Senate,,REP,Chuck Grassley,1159,303,856
Sioux,Orange City #2/Holland SE,U.S. Senate,,REP,Chuck Grassley,1053,217,836
Sioux,Plato/Rock/Settlers/Sioux,U.S. Senate,,REP,Chuck Grassley,696,71,625
Sioux,Rock Valley #1,U.S. Senate,,REP,Chuck Grassley,690,66,624
Sioux,Rock Valley #2,U.S. Senate,,REP,Chuck Grassley,728,72,656
Sioux,Sioux Center #1/Welcome,U.S. Senate,,REP,Chuck Grassley,533,57,476
Sioux,Sioux Center #2,U.S. Senate,,REP,Chuck Grassley,390,43,347
Sioux,Sioux Center #3,U.S. Senate,,REP,Chuck Grassley,602,60,542
Sioux,Sioux Center #4,U.S. Senate,,REP,Chuck Grassley,1239,208,1031
Sioux,West Branch,U.S. Senate,,REP,Chuck Grassley,299,43,256
Sioux,Alton/Nassau,U.S. Senate,,DEM,Michael Franken,106,22,84
Sioux,Capel/Grant/Lynn/Sheridan,U.S. Senate,,DEM,Michael Franken,84,28,56
Sioux,East Orange/Floyd/Holland North 1/2,U.S. Senate,,DEM,Michael Franken,105,30,75
Sioux,Hawarden/BC/EG West/GF/LG/WA West,U.S. Senate,,DEM,Michael Franken,234,37,197
Sioux,Hull/Lincoln,U.S. Senate,,DEM,Michael Franken,69,20,49
Sioux,Ireton/Center/Eagle East/Reading/Washington East,U.S. Senate,,DEM,Michael Franken,50,10,40
Sioux,Maurice/Sherman,U.S. Senate,,DEM,Michael Franken,16,7,9
Sioux,Orange City #1/Holland SW,U.S. Senate,,DEM,Michael Franken,193,74,119
Sioux,Orange City #2/Holland SE,U.S. Senate,,DEM,Michael Franken,206,61,145
Sioux,Plato/Rock/Settlers/Sioux,U.S. Senate,,DEM,Michael Franken,32,6,26
Sioux,Rock Valley #1,U.S. Senate,,DEM,Michael Franken,55,10,45
Sioux,Rock Valley #2,U.S. Senate,,DEM,Michael Franken,83,16,67
Sioux,Sioux Center #1/Welcome,U.S. Senate,,DEM,Michael Franken,44,9,35
Sioux,Sioux Center #2,U.S. Senate,,DEM,Michael Franken,134,30,104
Sioux,Sioux Center #3,U.S. Senate,,DEM,Michael Franken,118,31,87
Sioux,Sioux Center #4,U.S. Senate,,DEM,Michael Franken,144,46,98
Sioux,West Branch,U.S. Senate,,DEM,Michael Franken,21,5,16
Sioux,Alton/Nassau,U.S. Senate,,,Write-in,3,0,3
Sioux,Capel/Grant/Lynn/Sheridan,U.S. Senate,,,Write-in,0,0,0
Sioux,East Orange/Floyd/Holland North 1/2,U.S. Senate,,,Write-in,0,0,0
Sioux,Hawarden/BC/EG West/GF/LG/WA West,U.S. Senate,,,Write-in,1,0,1
Sioux,Hull/Lincoln,U.S. Senate,,,Write-in,3,0,3
Sioux,Ireton/Center/Eagle East/Reading/Washington East,U.S. Senate,,,Write-in,0,0,0
Sioux,Maurice/Sherman,U.S. Senate,,,Write-in,1,0,1
Sioux,Orange City #1/Holland SW,U.S. Senate,,,Write-in,2,1,1
Sioux,Orange City #2/Holland SE,U.S. Senate,,,Write-in,1,1,0
Sioux,Plato/Rock/Settlers/Sioux,U.S. Senate,,,Write-in,0,0,0
Sioux,Rock Valley #1,U.S. Senate,,,Write-in,0,0,0
Sioux,Rock Valley #2,U.S. Senate,,,Write-in,0,0,0
Sioux,Sioux Center #1/Welcome,U.S. Senate,,,Write-in,0,0,0
Sioux,Sioux Center #2,U.S. Senate,,,Write-in,1,0,1
Sioux,Sioux Center #3,U.S. Senate,,,Write-in,2,0,2
Sioux,Sioux Center #4,U.S. Senate,,,Write-in,1,0,1
Sioux,West Branch,U.S. Senate,,,Write-in,0,0,0
Sioux,Alton/Nassau,U.S. House,4,REP,Randy Feenstra,566,55,511
Sioux,Capel/Grant/Lynn/Sheridan,U.S. House,4,REP,Randy Feenstra,961,97,864
Sioux,East Orange/Floyd/Holland North 1/2,U.S. House,4,REP,Randy Feenstra,723,110,613
Sioux,Hawarden/BC/EG West/GF/LG/WA West,U.S. House,4,REP,Randy Feenstra,817,73,744
Sioux,Hull/Lincoln,U.S. House,4,REP,Randy Feenstra,1165,83,1082
Sioux,Ireton/Center/Eagle East/Reading/Washington East,U.S. House,4,REP,Randy Feenstra,594,57,537
Sioux,Maurice/Sherman,U.S. House,4,REP,Randy Feenstra,276,39,237
Sioux,Orange City #1/Holland SW,U.S. House,4,REP,Randy Feenstra,1171,304,867
Sioux,Orange City #2/Holland SE,U.S. House,4,REP,Randy Feenstra,1080,222,858
Sioux,Plato/Rock/Settlers/Sioux,U.S. House,4,REP,Randy Feenstra,698,71,627
Sioux,Rock Valley #1,U.S. House,4,REP,Randy Feenstra,699,67,632
